year,us_arrivals,nyc_share,nyc_arrivals,intensity,tier,source
1719,3076,0.15,461,0.0005,2,colonial-estimate
1720,3219,0.15,483,0.0005,2,colonial-estimate
1721,3364,0.15,505,0.0005,2,colonial-estimate
1722,3513,0.15,527,0.0005,2,colonial-estimate
1723,3668,0.15,550,0.0006,2,colonial-estimate
1724,3830,0.15,574,0.0006,2,colonial-estimate
1725,4000,0.15,600,0.0006,2,colonial-estimate
1726,4198,0.15,630,0.0007,2,colonial-estimate
1727,4432,0.15,665,0.0007,2,colonial-estimate
1728,4689,0.15,703,0.0007,2,colonial-estimate
1729,4956,0.15,743,0.0008,2,colonial-estimate
1730,5219,0.15,783,0.0008,2,colonial-estimate
1731,5464,0.15,820,0.0009,2,colonial-estimate
1732,5678,0.15,852,0.0009,2,colonial-estimate
1733,5848,0.15,877,0.0009,2,colonial-estimate
1734,5960,0.15,894,0.0009,2,colonial-estimate
1735,6000,0.15,900,0.0009,2,colonial-estimate
1736,5944,0.15,892,0.0009,2,colonial-estimate
1737,5792,0.15,869,0.0009,2,colonial-estimate
1738,5568,0.15,835,0.0009,2,colonial-estimate
1739,5296,0.15,794,0.0008,2,colonial-estimate
1740,5000,0.15,750,0.0008,2,colonial-estimate
1741,4704,0.15,706,0.0007,2,colonial-estimate
1742,4432,0.15,665,0.0007,2,colonial-estimate
1743,4208,0.15,631,0.0007,2,colonial-estimate
1744,4056,0.15,608,0.0006,2,colonial-estimate
1745,4000,0.15,600,0.0006,2,colonial-estimate
1746,4112,0.15,617,0.0006,2,colonial-estimate
1747,4416,0.15,662,0.0007,2,colonial-estimate
1748,4864,0.15,730,0.0008,2,colonial-estimate
1749,5408,0.15,811,0.0008,2,colonial-estimate
1750,6000,0.15,900,0.0009,2,colonial-estimate
1751,6592,0.15,989,0.001,2,colonial-estimate
1752,7136,0.15,1070,0.0011,2,colonial-estimate
1753,7584,0.15,1138,0.0012,2,colonial-estimate
1754,7888,0.15,1183,0.0012,2,colonial-estimate
1755,8000,0.15,1200,0.0012,2,colonial-estimate
1756,8000,0.2,1600,0.0017,2,colonial-estimate
1757,7996,0.2,1599,0.0017,2,colonial-estimate
1758,7986,0.2,1597,0.0017,2,colonial-estimate
1759,7968,0.2,1594,0.0017,2,colonial-estimate
1760,7938,0.2,1588,0.0016,2,colonial-estimate
1761,7892,0.2,1578,0.0016,2,colonial-estimate
1762,7828,0.2,1566,0.0016,2,colonial-estimate
1763,7744,0.2,1549,0.0016,2,colonial-estimate
1764,7636,0.2,1527,0.0016,2,colonial-estimate
1765,7500,0.2,1500,0.0016,2,colonial-estimate
1766,7252,0.2,1450,0.0015,2,colonial-estimate
1767,6840,0.2,1368,0.0014,2,colonial-estimate
1768,6308,0.2,1262,0.0013,2,colonial-estimate
1769,5700,0.2,1140,0.0012,2,colonial-estimate
1770,5062,0.2,1012,0.001,2,colonial-estimate
1771,4440,0.2,888,0.0009,2,colonial-estimate
1772,3878,0.2,776,0.0008,2,colonial-estimate
1773,3420,0.2,684,0.0007,2,colonial-estimate
1774,3112,0.2,622,0.0006,2,colonial-estimate
1775,3000,0.2,600,0.0006,2,colonial-estimate
1776,3000,0.2,600,0.0006,2,colonial-estimate
1777,3000,0.2,600,0.0006,2,colonial-estimate
1778,3000,0.2,600,0.0006,2,colonial-estimate
1779,3000,0.2,600,0.0006,2,colonial-estimate
1780,3000,0.2,600,0.0006,2,colonial-estimate
1781,3000,0.2,600,0.0006,2,colonial-estimate
1782,3000,0.2,600,0.0006,2,colonial-estimate
1783,3000,0.2,600,0.0006,2,colonial-estimate
1784,3000,0.2,600,0.0006,2,colonial-estimate
1785,3000,0.2,600,0.0006,2,colonial-estimate
1786,3084,0.2,617,0.0006,2,colonial-estimate
1787,3312,0.2,662,0.0007,2,colonial-estimate
1788,3648,0.2,730,0.0008,2,colonial-estimate
1789,4056,0.2,811,0.0008,2,colonial-estimate
1790,4500,0.2,900,0.0009,2,colonial-estimate
1791,4944,0.2,989,0.001,2,colonial-estimate
1792,5352,0.2,1070,0.0011,2,colonial-estimate
1793,5688,0.2,1138,0.0012,2,colonial-estimate
1794,5916,0.2,1183,0.0012,2,colonial-estimate
1795,6000,0.2,1200,0.0012,2,colonial-estimate
1796,6000,0.2,1200,0.0012,2,colonial-estimate
1797,6000,0.2,1200,0.0012,2,colonial-estimate
1798,6000,0.2,1200,0.0012,2,colonial-estimate
1799,6000,0.2,1200,0.0012,2,colonial-estimate
1800,6000,0.2,1200,0.0012,2,colonial-estimate
1801,6000,0.35,2100,0.0022,2,colonial-estimate
1802,6000,0.35,2100,0.0022,2,colonial-estimate
1803,6000,0.35,2100,0.0022,2,colonial-estimate
1804,6000,0.35,2100,0.0022,2,colonial-estimate
1805,6000,0.35,2100,0.0022,2,colonial-estimate
1806,6000,0.35,2100,0.0022,2,colonial-estimate
1807,6000,0.35,2100,0.0022,2,colonial-estimate
1808,6000,0.35,2100,0.0022,2,colonial-estimate
1809,6000,0.35,2100,0.0022,2,colonial-estimate
1810,6000,0.35,2100,0.0022,2,colonial-estimate
1811,6000,0.35,2100,0.0022,2,colonial-estimate
1812,6000,0.35,2100,0.0022,2,colonial-estimate
1813,6000,0.35,2100,0.0022,2,colonial-estimate
1814,6000,0.35,2100,0.0022,2,colonial-estimate
1815,6000,0.35,2100,0.0022,2,colonial-estimate
1816,6172,0.35,2160,0.0022,2,colonial-estimate
1817,6612,0.35,2314,0.0024,2,colonial-estimate
1818,7205,0.35,2522,0.0026,2,colonial-estimate
1819,7836,0.35,2743,0.0028,2,colonial-estimate
1820,8390,0.35,2936,0.003,1,dhs-table-1
1821,9130,0.35,3196,0.0033,1,dhs-table-1
1822,6910,0.35,2418,0.0025,1,dhs-table-1
1823,6350,0.35,2222,0.0023,1,dhs-table-1
1824,7910,0.35,2768,0.0029,1,dhs-table-1
1825,10200,0.6,6120,0.0063,1,dhs-table-1
1826,10840,0.6,6504,0.0067,1,dhs-table-1
1827,18880,0.6,11328,0.0118,1,dhs-table-1
1828,27380,0.6,16428,0.017,1,dhs-table-1
1829,22520,0.6,13512,0.014,1,dhs-table-1
1830,23320,0.6,13992,0.0145,1,dhs-table-1
1831,22630,0.6,13578,0.0141,1,dhs-table-1
1832,60480,0.6,36288,0.0376,1,dhs-table-1
1833,58640,0.6,35184,0.0365,1,dhs-table-1
1834,65370,0.6,39222,0.0407,1,dhs-table-1
1835,45370,0.6,27222,0.0282,1,dhs-table-1
1836,76240,0.6,45744,0.0475,1,dhs-table-1
1837,79340,0.6,47604,0.0494,1,dhs-table-1
1838,38910,0.6,23346,0.0242,1,dhs-table-1
1839,68070,0.6,40842,0.0424,1,dhs-table-1
1840,84070,0.6,50442,0.0523,1,dhs-table-1
1841,80290,0.6,48174,0.05,1,dhs-table-1
1842,104570,0.6,62742,0.0651,1,dhs-table-1
1843,52500,0.6,31500,0.0327,1,dhs-table-1
1844,78620,0.6,47172,0.0489,1,dhs-table-1
1845,114370,0.6,68622,0.0712,1,dhs-table-1
1846,154420,0.6,92652,0.0961,1,dhs-table-1
1847,234970,0.6,140982,0.1462,1,dhs-table-1
1848,226530,0.6,135918,0.141,1,dhs-table-1
1849,297020,0.6,178212,0.1849,1,dhs-table-1
1850,369980,0.6,221988,0.2303,1,dhs-table-1
1851,379470,0.6,227682,0.2362,1,dhs-table-1
1852,371600,0.6,222960,0.2313,1,dhs-table-1
1853,368650,0.6,221190,0.2294,1,dhs-table-1
1854,427830,0.6,256698,0.2663,1,dhs-table-1
1855,200880,0.7,140616,0.1459,1,dhs-table-1
1856,200440,0.7,140308,0.1455,1,dhs-table-1
1857,251310,0.7,175917,0.1825,1,dhs-table-1
1858,123130,0.7,86191,0.0894,1,dhs-table-1
1859,121280,0.7,84896,0.0881,1,dhs-table-1
1860,153640,0.7,107548,0.1116,1,dhs-table-1
1861,91920,0.7,64344,0.0667,1,dhs-table-1
1862,91990,0.7,64393,0.0668,1,dhs-table-1
1863,176280,0.7,123396,0.128,1,dhs-table-1
1864,193420,0.7,135394,0.1404,1,dhs-table-1
1865,248120,0.7,173684,0.1802,1,dhs-table-1
1866,318570,0.7,222999,0.2313,1,dhs-table-1
1867,315720,0.7,221004,0.2293,1,dhs-table-1
1868,138840,0.7,97188,0.1008,1,dhs-table-1
1869,352770,0.7,246939,0.2562,1,dhs-table-1
1870,387200,0.7,271040,0.2812,1,dhs-table-1
1871,321350,0.7,224945,0.2333,1,dhs-table-1
1872,404810,0.7,283367,0.2939,1,dhs-table-1
1873,459800,0.7,321860,0.3339,1,dhs-table-1
1874,313340,0.7,219338,0.2275,1,dhs-table-1
1875,227500,0.7,159250,0.1652,1,dhs-table-1
1876,169990,0.7,118993,0.1234,1,dhs-table-1
1877,141860,0.7,99302,0.103,1,dhs-table-1
1878,138470,0.7,96929,0.1005,1,dhs-table-1
1879,177830,0.7,124481,0.1291,1,dhs-table-1
1880,457260,0.7,320082,0.332,1,dhs-table-1
1881,669430,0.7,468601,0.4861,1,dhs-table-1
1882,788990,0.7,552293,0.5729,1,dhs-table-1
1883,603320,0.7,422324,0.4381,1,dhs-table-1
1884,518590,0.7,363013,0.3766,1,dhs-table-1
1885,395350,0.7,276745,0.2871,1,dhs-table-1
1886,334200,0.7,233940,0.2427,1,dhs-table-1
1887,490110,0.7,343077,0.3559,1,dhs-table-1
1888,546890,0.7,382823,0.3971,1,dhs-table-1
1889,444430,0.7,311101,0.3227,1,dhs-table-1
1890,455300,0.7,318710,0.3306,1,dhs-table-1
1891,560320,0.7,392224,0.4069,1,dhs-table-1
1892,579660,0.75,434745,0.451,1,dhs-table-1
1893,439730,0.75,329798,0.3421,1,dhs-table-1
1894,285630,0.75,214222,0.2222,1,dhs-table-1
1895,258540,0.75,193905,0.2011,1,dhs-table-1
1896,343270,0.75,257452,0.2671,1,dhs-table-1
1897,230830,0.75,173122,0.1796,1,dhs-table-1
1898,229300,0.75,171975,0.1784,1,dhs-table-1
1899,311720,0.75,233790,0.2425,1,dhs-table-1
1900,448570,0.75,336428,0.349,1,dhs-table-1
1901,487920,0.75,365940,0.3796,1,dhs-table-1
1902,648740,0.75,486555,0.5047,1,dhs-table-1
